kind,group,name,width,height,file,source,sprite_index,texture_source,x,y,global_y
atlas,atlases,bmp_title0.gcz,1024,1024,atlases/bmp_title0.png,bmp_title0.gcz,,,,,
atlas,atlases,bonus_g0.gcz,1024,1024,atlases/bonus_g0.png,bonus_g0.gcz,,,,,
atlas,atlases,bonus_g1.gcz,1024,1024,atlases/bonus_g1.png,bonus_g1.gcz,,,,,
atlas,atlases,bonus_g2.gcz,1024,1024,atlases/bonus_g2.png,bonus_g2.gcz,,,,,
atlas,atlases,bonus_g3.gcz,1024,1024,atlases/bonus_g3.png,bonus_g3.gcz,,,,,
atlas,atlases,bonus_g4.gcz,1024,1024,atlases/bonus_g4.png,bonus_g4.gcz,,,,,
atlas,atlases,bonus_g5.gcz,1024,1024,atlases/bonus_g5.png,bonus_g5.gcz,,,,,
atlas,atlases,bonus_g6.gcz,1024,1024,atlases/bonus_g6.png,bonus_g6.gcz,,,,,
atlas,atlases,bonus_g7.gcz,1024,1024,atlases/bonus_g7.png,bonus_g7.gcz,,,,,
atlas,atlases,bonus_g8.gcz,1024,1024,atlases/bonus_g8.png,bonus_g8.gcz,,,,,
atlas,atlases,bonus_g9.gcz,1024,1024,atlases/bonus_g9.png,bonus_g9.gcz,,,,,
atlas,atlases,BONUS_G_B0.GCZ,1024,1024,atlases/bonus_g_b0.png,BONUS_G_B0.GCZ,,,,,
atlas,atlases,BONUS_G_B1.GCZ,1024,1024,atlases/bonus_g_b1.png,BONUS_G_B1.GCZ,,,,,
atlas,atlases,BONUS_G_B2.GCZ,1024,1024,atlases/bonus_g_b2.png,BONUS_G_B2.GCZ,,,,,
atlas,atlases,BONUS_G_B3.GCZ,1024,1024,atlases/bonus_g_b3.png,BONUS_G_B3.GCZ,,,,,
atlas,atlases,BONUS_G_B4.GCZ,1024,1024,atlases/bonus_g_b4.png,BONUS_G_B4.GCZ,,,,,
atlas,atlases,BONUS_G_B5.GCZ,1024,1024,atlases/bonus_g_b5.png,BONUS_G_B5.GCZ,,,,,
atlas,atlases,BONUS_G_B6.GCZ,1024,1024,atlases/bonus_g_b6.png,BONUS_G_B6.GCZ,,,,,
atlas,atlases,BONUS_G_B7.GCZ,1024,1024,atlases/bonus_g_b7.png,BONUS_G_B7.GCZ,,,,,
atlas,atlases,BONUS_G_B8.GCZ,1024,1024,atlases/bonus_g_b8.png,BONUS_G_B8.GCZ,,,,,
atlas,atlases,BONUS_G_B9.GCZ,1024,256,atlases/bonus_g_b9.png,BONUS_G_B9.GCZ,,,,,
atlas,atlases,BONUS_G_R0.GCZ,1024,1024,atlases/bonus_g_r0.png,BONUS_G_R0.GCZ,,,,,
atlas,atlases,BONUS_G_R1.GCZ,1024,1024,atlases/bonus_g_r1.png,BONUS_G_R1.GCZ,,,,,
